,Beer_Rating,Covered,Customer_Rating,Price,Row,Section,Home_Away
324,10.0,0.0,3.0,85.5,10,139,1
325,10.0,0.0,3.0,71.0,19,139,1
327,10.0,0.0,3.0,67.0,21,139,1
328,10.0,0.0,3.0,65.0,23,139,1
329,10.0,0.0,3.0,64.0,24,139,1
330,10.0,0.0,3.0,63.0,25,139,1
331,10.0,0.0,3.0,62.0,27,139,1
332,10.0,0.0,3.0,61.0,28,139,1
338,10.0,0.0,3.0,87.33500000000001,9,139,1
340,1.0,0.0,3.0,61.0,10,215,1
341,1.0,0.0,3.0,67.0,4,215,1
342,1.0,0.0,3.0,70.0,6,215,1
343,1.0,0.0,3.0,64.0,7,215,1
344,1.0,0.0,3.0,63.0,8,215,1
345,1.0,0.0,3.0,68.0,9,215,1
346,1.0,0.0,3.0,66.0,5,220,1
347,1.0,0.0,3.0,115.71000000000001,1,222,1
348,1.0,0.0,3.0,115.71000000000001,1,222,1
349,1.0,0.0,3.0,115.71000000000001,1,222,1
350,1.0,0.0,3.0,115.71000000000001,1,222,1
351,1.0,0.0,3.0,115.71000000000001,1,222,1
352,1.0,0.0,3.0,115.71000000000001,1,222,1
356,1.0,0.0,3.0,143.25,1,224,1
363,9.0,1.0,3.0,117.375,1,233,1
365,9.0,1.0,3.0,117.375,2,233,1
366,9.0,1.0,3.0,146.0,5,233,1
367,9.0,1.0,3.0,113.875,6,233,1
368,9.0,1.0,3.0,136.66500000000002,7,233,1
